post_title;post_name;post_parent;ID;post_content;post_excerpt;post_status;post_password;menu_order;post_date;post_author;comment_status;sku;parent_sku;children;downloadable;virtual;stock;regular_price;sale_price;weight;length;width;height;tax_class;visibility;stock_status;backorders;sold_individually;low_stock_amount;manage_stock;tax_status;upsell_ids;crosssell_ids;purchase_note;sale_price_dates_from;sale_price_dates_to;download_limit;download_expiry;product_url;button_text;images;downloadable_files;product_page_url;meta:total_sales;tax:product_type;tax:product_visibility;tax:product_cat;tax:product_tag;tax:product_shipping_class;attribute:pa_color;attribute_data:pa_color;attribute:pa_size;attribute_data:pa_size
Relaxed Fit Joggers;relaxed-fit-joggers;;177;Unwind in comfort without compromising style with our Relaxed Fit Joggers. Crafted for both leisure and an active lifestyle, these joggers redefine casual chic. The soft, breathable fabric and relaxed silhouette provide an unmatched level of ease, making them perfect for lounging at home or stepping out for an on-the-go adventure. Versatile and effortlessly cool, our Relaxed Fit Joggers seamlessly combine comfort and fashion, ensuring you feel relaxed and look effortlessly stylish no matter the occasion.;The soft, breathable fabric and relaxed silhouette provide an unmatched level of ease, making them perfect for lounging at home or stepping out for an on-the-go adventure. Versatile and effortlessly cool, our Relaxed Fit Joggers seamlessly combine comfort and fashion, ensuring you feel relaxed and look effortlessly stylish no matter the occasion.;publish;;0;10/10/2024 9:30;1;open;;;;no;no;;250.00;;;;;;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;http://localhost/p_shop/wp-content/uploads/2024/03/img-02-c.jpg ! alt :  ! title : img-02-c ! desc :  ! caption :  | http://localhost/p_shop/wp-content/uploads/2024/03/img-03-a.jpg ! alt :  ! title : img-03-a ! desc :  ! caption :  | http://localhost/p_shop/wp-content/uploads/2024/03/img-03-b.jpg ! alt :  ! title : img-03-b ! desc :  ! caption : ;;http://localhost/p_shop/product/relaxed-fit-joggers/;0;simple;;Women;;;;;;
Professional Pinstripe Blazer;professional-pinstripe-blazer;;184;Make a bold statement in the corporate world with our Professional Pinstripe Blazer, the epitome of executive elegance. Meticulously tailored, this blazer is a harmonious blend of classic design and contemporary flair, featuring a timeless pinstripe pattern that exudes confidence and sophistication. Whether you\'re leading a meeting or attending a formal event, the structured silhouette and refined details of our Professional Pinstripe Blazer will elevate your style, leaving an indelible mark of professionalism and grace.;Whether you're leading a meeting or attending a formal event, the structured silhouette and refined details of our Professional Pinstripe Blazer will elevate your style, leaving an indelible mark of professionalism and grace.;publish;;0;10/10/2024 9:30;1;open;;;;no;no;;109.99;;;;;;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;http://localhost/p_shop/wp-content/uploads/woocommerce-placeholder.png ! alt :  ! title : woocommerce-placeholder ! desc :  ! caption :  |  ! alt :  ! title :  ! desc : <!-- wp:shortcode -->[woocommerce_checkout]<!-- /wp:shortcode --> ! caption :  |  ! alt :  ! title :  ! desc : <!-- wp:shortcode -->[woocommerce_cart]<!-- /wp:shortcode --> ! caption : ;;http://localhost/p_shop/product/professional-pinstripe-blazer/;0;simple;;Baby;;;;;;
Weekend Wanderlust Wardrobe;weekend-wanderlust-wardrobe;;195;"Elevate your professional wardrobe with our Weekend Wanderlust Wardrobe, a timeless masterpiece that seamlessly blends sophistication with modern flair. Meticulously tailored, the classic pinstripe pattern adds a touch of authority, making it an essential ensemble for the empowered woman. The structured silhouette and refined details create a commanding presence, whether you\'re leading a meeting or making a powerful entrance at a formal event. Versatile and chic, our Weekend Wanderlust Wardrobe is not just a garment; it\'s a symbol of confidence, competence, and sartorial excellence, ensuring you leave an indelible mark wherever your professional journey takes you.";"The structured silhouette and refined details create a commanding presence, whether you're leading a meeting or making a powerful entrance at a formal event. Versatile and chic, our Weekend Wanderlust Wardrobe is not just a garment; it's a symbol of confidence, competence, and sartorial excellence, ensuring you leave an indelible mark wherever your professional journey takes you.";publish;;0;10/10/2024 9:30;1;open;;;;no;no;;119.95;;;;;;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;; ! alt :  ! title : astra ! desc :  ! caption :  |  ! alt :  ! title : astra ! desc :  ! caption : ;;http://localhost/p_shop/product/weekend-wanderlust-wardrobe/;0;simple;;Baby;;;;;;
Urban Chic Ensemble;urban-chic-ensemble;;197;"Elevate your professional wardrobe with our Urban Chic Ensemble, a timeless masterpiece that seamlessly blends sophistication with modern flair. Meticulously tailored, the classic pinstripe pattern adds a touch of authority, making it an essential ensemble for the empowered woman. The structured silhouette and refined details create a commanding presence, whether you\'re leading a meeting or making a powerful entrance at a formal event. Versatile and chic, our Urban Chic Ensemble is not just a garment; it\'s a symbol of confidence, competence, and sartorial excellence, ensuring you leave an indelible mark wherever your professional journey takes you.";"The structured silhouette and refined details create a commanding presence, whether you're leading a meeting or making a powerful entrance at a formal event. Versatile and chic, our Urban Chic Ensemble is not just a garment; it's a symbol of confidence, competence, and sartorial excellence, ensuring you leave an indelible mark wherever your professional journey takes you.";publish;;0;10/10/2024 9:30;1;open;;;;no;no;;224.95;;;;;;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;" ! alt :  ! title : Contact Form ! desc : {""fields"":{""3"":{""id"":""3"",""type"":""text"",""label"":""Name"",""description"":"""",""required"":""1"",""size"":""large"",""placeholder"":""Name"",""limit_count"":""1"",""limit_mode"":""characters"",""default_value"":"""",""input_mask"":"""",""css"":"""",""label_hide"":""1""},""1"":{""id"":""1"",""type"":""email"",""label"":""Email"",""description"":"""",""required"":""1"",""size"":""large"",""placeholder"":""Email"",""confirmation_placeholder"":"""",""default_value"":false,""filter_type"":"""",""allowlist"":"""",""denylist"":"""",""css"":"""",""label_hide"":""1""},""2"":{""id"":""2"",""type"":""textarea"",""label"":""Message"",""description"":"""",""required"":""1"",""size"":""large"",""placeholder"":""Message"",""limit_count"":""1"",""limit_mode"":""characters"",""default_value"":"""",""css"":"""",""label_hide"":""1""}},""id"":73,""field_id"":4,""settings"":{""form_title"":""Contact Form"",""form_desc"":"""",""submit_text"":""Send"",""submit_text_processing"":""Sending..."",""form_class"":"""",""submit_class"":"""",""ajax_submit"":""1"",""notification_enable"":""1"",""notifications"":{""1"":{""email"":""{admin_email}"",""subject"":""New Entry: Simple Contact Form"",""sender_name"":""Clothing Store"",""sender_address"":""{admin_email}"",""replyto"":""{field_id=\1\""}"""",""""message"""":""""{all_fields}"""",""""template"""":""""""""}},""""confirmations"""":{""""1"""":{""""type"""":""""message"""",""""message"""":""""<p>Thanks for contacting us! We will be in touch with you shortly.<\/p>"""",""""message_scroll"""":""""1"""",""""page"""":""""15"""",""""redirect"""":""""""""}},""""antispam"""":""""1"""",""""anti_spam"""":{""""time_limit"""":{""""duration"""":""""3""""}},""""form_tags"""":[]},""""meta"""":{""""template"""":""""simple-contact-form-template""""}} ! caption :  |  ! alt :  ! title : Contact Form ! desc : {""""fields"""":{""""3"""":{""""id"""":""""3"""",""""type"""":""""text"""",""""label"""":""""Name"""",""""description"""":"""""""",""""required"""":""""1"""",""""size"""":""""large"""",""""placeholder"""":""""Name"""",""""limit_count"""":""""1"""",""""limit_mode"""":""""characters"""",""""default_value"""":"""""""",""""input_mask"""":"""""""",""""css"""":"""""""",""""label_hide"""":""""1""""},""""1"""":{""""id"""":""""1"""",""""type"""":""""email"""",""""label"""":""""Email"""",""""description"""":"""""""",""""required"""":""""1"""",""""size"""":""""large"""",""""placeholder"""":""""Email"""",""""confirmation_placeholder"""":"""""""",""""default_value"""":false,""""filter_type"""":"""""""",""""allowlist"""":"""""""",""""denylist"""":"""""""",""""css"""":"""""""",""""label_hide"""":""""1""""},""""2"""":{""""id"""":""""2"""",""""type"""":""""textarea"""",""""label"""":""""Message"""",""""description"""":"""""""",""""required"""":""""1"""",""""size"""":""""large"""",""""placeholder"""":""""Message"""",""""limit_count"""":""""1"""",""""limit_mode"""":""""characters"""",""""default_value"""":"""""""",""""css"""":"""""""",""""label_hide"""":""""1""""}},""""id"""":73,""""field_id"""":4,""""settings"""":{""""form_title"""":""""Contact Form"""",""""form_desc"""":"""""""",""""submit_text"""":""""Send"""",""""submit_text_processing"""":""""Sending..."""",""""form_class"""":"""""""",""""submit_class"""":"""""""",""""ajax_submit"""":""""1"""",""""notification_enable"""":""""1"""",""""notifications"""":{""""1"""":{""""email"""":""""{admin_email}"""",""""subject"""":""""New Entry: Simple Contact Form"""",""""sender_name"""":""""Clothing Store"""",""""sender_address"""":""""{admin_email}"""",""""replyto"""":""""{field_id=\""1\""}"""",""""message"""":""""{all_fields}"""",""""template"""":""""""""}},""""confirmations"""":{""""1"""":{""""type"""":""""message"""",""""message"""":""""<p>Thanks for contacting us! We will be in touch with you shortly.<\/p>"""",""""message_scroll"""":""""1"""",""""page"""":""""15"""",""""redirect"""":""""""""}},""""antispam"""":""""1"""",""""anti_spam"""":{""""time_limit"""":{""""duration"""":""""3""""}},""""form_tags"""":[]},""""meta"""":{""""template"""":""""simple-contact-form-template""""}} ! caption : """;;http://localhost/p_shop/product/urban-chic-ensemble/;0;simple;;Women;;;;;;
Sher Singh Men Fluorite Green and Blue Pitch Striper Sweater;sher-singh-men-fluorite-green-and-blue-pitch-striper-sweater;;101206;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.;This is a simple product.;publish;;0;10/10/2024 19:19;1;open;woo-sher-singh-men-fluorite-green-and-blue-pitch-striper-sweater;;;no;no;;5411;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;;;http://localhost/p_shop/product/sher-singh-men-fluorite-green-and-blue-pitch-striper-sweater/;0;simple;;Men;;;;;;
Fastrack Men Black Dial Chronograph Watch 3072SM04;fastrack-men-black-dial-chronograph-watch-3072sm04;;101470;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.;This is a simple product.;publish;;0;10/10/2024 19:19;1;open;woo-fastrack-men-black-dial-chronograph-watch-3072sm04;;;no;no;;7003;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;;;http://localhost/p_shop/product/fastrack-men-black-dial-chronograph-watch-3072sm04/;0;simple;;Men;;;;;;
Fastrack Men Black Dial Chronograph Watch 3072SM01;fastrack-men-black-dial-chronograph-watch-3072sm01;;101473;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.;This is a simple product.;publish;;0;10/10/2024 19:19;1;open;woo-fastrack-men-black-dial-chronograph-watch-3072sm01;;;no;no;;6978;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;;;http://localhost/p_shop/product/fastrack-men-black-dial-chronograph-watch-3072sm01/;0;simple;;Men;;;;;;
Flying Machine Boys Charcoal Grey Cardigan;flying-machine-boys-charcoal-grey-cardigan;;1008342;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.;This is a simple product.;publish;;0;10/10/2024 19:19;1;open;woo-flying-machine-boys-charcoal-grey-cardigan;;;no;no;;4290;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;;;http://localhost/p_shop/product/flying-machine-boys-charcoal-grey-cardigan/;0;simple;;Women;;;;;;
Flying Machine Boys Black Cardigan;flying-machine-boys-black-cardigan;;1008343;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.;This is a simple product.;publish;;0;10/10/2024 19:19;1;open;woo-flying-machine-boys-black-cardigan;;;no;no;;4273;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;;;http://localhost/p_shop/product/flying-machine-boys-black-cardigan/;0;simple;;Women;;;;;;
Flying Machine Boys Charcoal Grey Sweater;flying-machine-boys-charcoal-grey-sweater;;1008344;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.;This is a simple product.;publish;;0;10/10/2024 19:19;1;open;woo-flying-machine-boys-charcoal-grey-sweater;;;no;no;;4872;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;;;http://localhost/p_shop/product/flying-machine-boys-charcoal-grey-sweater/;0;simple;;Women;;;;;;
Alvaro Castagnino Purple Pocket Square;alvaro-castagnino-purple-pocket-square;;1008977;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.;This is a simple product.;publish;;0;10/10/2024 19:19;1;open;woo-alvaro-castagnino-purple-pocket-square;;;no;no;;4155;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;;;http://localhost/p_shop/product/alvaro-castagnino-purple-pocket-square/;0;simple;;Women;;;;;;
Alvaro Castagnino Black & Pink Printed Pocket Square;alvaro-castagnino-black-pink-printed-pocket-square;;1008979;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.;This is a simple product.;publish;;0;10/10/2024 19:19;1;open;woo-alvaro-castagnino-black-&-pink-printed-pocket-square;;;no;no;;4380;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;;;http://localhost/p_shop/product/alvaro-castagnino-black-pink-printed-pocket-square/;0;simple;;Women;;;;;;
